id,students,teachers,level,geoid
10042000209,519,27,MH,010090505001
10042000210,406,22,MH,010090507001
10042000211,835,44,PEMH,010090507003
10042000213,481,26,MH,010090503003
10042001427,519,27,PEM,010090507001
10042001476,513,30,PEM,010090502001
10042001481,634,31,PEM,010090503003
10042001870,550,24,EM,010090506025
10045000214,485,29,PE,010539702002
10045000215,361,23,EM,010539701003
10045000216,378,22,H,010539701002
10048000218,446,20,H,010119522003
10048000221,424,21,EM,010119522003
10048000222,527,31,PE,010119522003
10051000226,659,32,H,010139529002
10051000228,581,26,EM,010139528001
10051000229,449,23,PEMH,010139535001
10051000231,542,30,PE,010139528001
10051001482,281,16,E,010139528001
10051002144,388,20,PEMH,010139534001
10054000232,513,30,H,010150025013
10054000240,413,22,MH,010150026003
10054000242,459,31,PE,010150016003
10054000243,340,19,H,010150016003
10054000244,301,19,EM,010150016003
10054000246,553,32,PEM,010150018006
10054000247,517,26,MH,010150018005
10054000249,582,35,PEM,010150013002
10054000250,389,22,H,010150020004
10054001428,440,27,PEM,010150026003
10054001429,484,28,PEM,010150024002
10054001430,539,33,PE,010150020002
10054001488,422,24,MH,010150025023
10054001489,491,31,MH,010150013002
10054001747,720,46,PE,010150025013
10054001884,402,19,EM,010150020002
10054002429,485,26,EM,010150025013
10060000256,311,18,PE,010179540002
10060000257,653,33,PE,010179547003
10060000260,384,23,PE,010179542002
10060000263,208,15,H,010179540002
10060000268,241,14,PE,010179546002
10060000269,129,8,M,010179540005
10060000271,642,40,H,010179543002
10060000272,528,26,M,010179543002
10060002515,62,4,MH,010179538003
10063000274,607,34,PEMH,010199557011
10063000275,647,40,PE,010199560002
10063000276,457,25,EM,010199559001
10063000278,465,24,H,010199560002
10063000279,376,24,PEMH,010199557022
10063000282,773,44,PEMH,010199558002
10063000283,561,33,PEMH,010199561003
10066000261,771,41,PEMH,010210606002
10066000262,686,32,H,010210604022
10066000265,536,28,PEMH,010210605001
10066000270,771,39,PEMH,010210604012
10066000286,1028,65,PE,010210601014
10066000287,478,24,M,010210601014
10066000288,592,32,PEMH,010210607003
10066000745,360,21,M,010210604022
10066001431,621,33,EM,010210601014
10066001491,783,40,H,010210601014
10066001657,740,44,PE,010210604021
10066002437,492,21,EM,010210604021
10069000182,296,19,PEM,010239569003
10069000291,248,18,MH,010239568003
10069000297,237,16,MH,010239569003
10069001561,316,21,PEM,010239568003
10072000298,265,19,H,010259578002
10072000302,351,23,PE,010259578001
10072000304,296,16,M,010259579023
10072000305,338,25,PE,010259579012
10072000306,213,15,EM,010259578002
10072001450,269,19,E,010259579012
10072001493,439,29,H,010259579012
10075000307,486,27,PEM,010279590003
