# ExaEpi hospital-capacity data -- utilities/build_hospital_data.py
# source: HHS COVID-19 Hospital Capacity by Facility (anag-cw7u): staffed inpatient beds (beds) + staffed adult ICU beds (icu_beds)
# state=US year=2021 level=county week=2021-12-26
# columns: FIPS beds icu_beds n_hospitals
2448
19073 15 0 1
19075 12 0 1
19077 8 0 1
19079 25 0 1
19081 20 0 1
19083 17 0 1
19085 12 0 1
19087 10 0 1
19089 18 0 1
19091 11 0 1
19093 14 0 1
19095 12 0 1
19097 13 0 1
19099 20 0 1
19101 25 0 1
19103 929 111 2
19105 12 0 1
19107 14 0 1
19109 23 0 1
19111 4 0 1
19113 580 39 2
19117 14 0 1
19119 14 0 1
19121 12 0 1
19123 23 0 1
19125 41 0 2
19127 25 0 1
19131 18 0 1
19133 10 0 1
19135 10 0 1
19137 21 7 1
19139 14 0 1
19141 39 0 2
19143 12 0 1
19145 41 0 2
19147 30 0 1
19149 17 0 1
19151 12 0 1
19153 1177 120 4
19155 169 27 2
19157 39 8 1
19159 15 0 1
19161 15 0 1
19163 488 40 3
19165 25 0 1
19167 75 0 4
19169 143 9 2
19175 46 0 1
19177 10 0 1
19179 79 9 1
19183 15 0 1
19185 25 0 1
19187 56 13 1
19191 25 0 1
19193 457 54 2
19197 41 0 2
20001 10 0 1
20003 12 0 1
20005 25 4 1
20007 33 0 2
20009 81 0 3
20013 25 0 1
20015 69 10 2
20019 18 0 1
20021 22 0 2
20023 16 0 1
20025 39 0 2
20027 12 0 1
20031 15 0 1
20033 12 0 1
20035 55 9 2
20037 105 16 2
20039 12 0 1
20041 43 0 2
20045 137 24 1
20047 12 0 1
20051 81 12 1
20053 18 0 1
20055 104 20 1
20057 32 10 1
20059 44 6 1
20061 35 0 1
20063 21 0 1
20065 15 0 1
20067 26 0 1
20071 18 0 1
20073 17 0 1
20075 25 0 1
20077 16 0 1
20079 94 6 1
20081 15 0 1
20083 25 0 1
20085 14 0 1
20087 8 0 1
20089 6 0 1
20091 1320 118 10
20093 25 0 1
20095 25 0 1
20097 15 0 1
20099 47 5 1
20101 25 0 1
20103 24 0 1
20105 14 0 1
20109 15 0 1
20111 30 6 1
20113 43 7 3
20115 18 0 2
20117 25 0 1
20119 20 0 1
20121 18 0 1
20123 20 4 1
20125 29 5 1
20127 12 0 1
20129 22 0 1
20131 33 0 2
20133 25 5 1
20135 50 0 2
20137 25 0 1
20141 16 0 1
20143 25 0 1
20145 18 0 1
20147 15 0 1
20149 33 0 2
20151 14 6 1
20153 10 0 1
20155 85 10 2
20157 13 0 1
20159 25 0 1
20161 99 12 2
20163 22 0 1
20165 25 0 1
20167 25 0 1
20169 230 18 2
20171 20 0 1
20173 1988 258 9
20175 40 7 1
20177 408 62 2
20179 13 0 1
20181 25 0 1
20183 16 0 1
20185 12 0 1
20187 14 0 1
20189 17 0 1
20191 12 0 1
20193 25 0 1
20195 29 0 1
20201 41 0 2
20203 12 0 1
20205 40 0 2
20209 1109 160 3
21001 13 0 1
21003 18 0 1
21009 128 13 1
21013 31 5 2
21015 116 14 1
21017 15 4 1
21019 269 59 1
21021 201 12 2
21025 21 0 1
21027 23 0 1
21033 12 0 1
21035 71 14 1
21037 133 12 2
21041 12 0 1
21045 24 0 1
21047 118 10 1
21049 52 12 1
21051 36 8 1
21053 12 0 1
21055 14 0 1
21057 12 0 1
21059 307 29 1
21065 17 0 1
21067 1552 248 5
21069 14 0 1
21071 107 12 3
21073 98 10 1
21081 6 0 1
21083 90 13 1
21085 35 6 1
21087 20 0 1
21093 300 30 1
21095 57 7 1
21097 32 10 1
21099 13 0 1
21101 55 9 1
21107 156 18 2
21111 2352 300 5
21115 22 4 1
21117 439 50 1
21121 57 19 3
21125 122 48 1
21127 37 5 1
21131 22 0 1
21133 40 4 1
21137 10 0 1
21139 18 0 1
21141 20 0 1
21145 336 47 3
21151 94 8 2
21155 35 6 1
21157 23 4 1
21161 34 5 1
21167 25 0 1
21171 35 0 1
21173 35 4 1
21175 12 0 1
21177 38 6 1
21179 40 12 1
21183 25 0 1
21185 38 7 1
21193 189 32 1
21195 343 65 2
21199 184 43 1
21203 30 4 1
21205 115 14 1
21207 14 0 1
