131 15920
AMA KOA-ITO 60
AMA LAS 11090
AMA LAX-BUR 2410
AMA LEX 240
AMA LIH 60
AMA LIT 580
AMA MCI 1790
AMA MCO 3970
AMA MDT 180
AMA MEM 860
AMA MFE 460
AMA MFR 130
AMA MKE-MS 540
AMA MOB 250
AMA MOT 80
AMA MSO 170
AMA MSP 1760
AMA MSY 1690
AMA MYR 190
AMA OAK 390
AMA OGG 130
AMA OKC 170
AMA OMA 750
AMA ONT 1190
AMA ORD-MDW 2730
AMA ORF 630
AMA PBI 450
AMA PDX 1330
AMA PHL 1090
AMA PHX 4310
AMA PIT 820
AMA PNS 1020
AMA PSP 260
AMA PVD 80
AMA PWM 110
AMA RAP 270
AMA RDU 930
AMA RIC 460
AMA RNO 720
AMA ROA 70
AMA ROC 70
AMA RSW 660
AMA SAN 2110
AMA SAT 4640
AMA SAV 330
AMA SBA 100
AMA SDF 500
AMA SEA 1750
AMA SFO 700
AMA SGF 250
AMA SHV 270
AMA SJC 470
AMA SLC 1780
AMA SMF 1440
AMA SNA-LGB 1070
AMA SRQ 80
AMA STL 1340
AMA TLH 230
AMA TPA 1870
AMA TUL 440
AMA TUS 630
AMA TYS 1310
AMA VPS 740
AMA XNA 130
AMA XWA 100
ANC ABQ 3430
ANC AEX 490
ANC ALB 520
ANC AMA 290
ANC ATL 9420
ANC ATW 360
ANC AUS 5170
ANC BDL 780
ANC BGR 230
ANC BHM 860
ANC BIL 2350
ANC BIS 780
ANC BNA 5980
ANC BOI 9980
ANC BOS 6700
ANC BTV 170
ANC BWI 2870
ANC BZN 3170
ANC CAE 580
ANC CAK 130
ANC CHS 2030
ANC CLE 1480
ANC CLT 2940
ANC CMH 2860
ANC COS 710
ANC CRP 220
ANC CRW 210
ANC CVG 1570
ANC DAY 570
ANC DCA-IAD 8290
ANC DEN 21330
ANC DFW-DAL 16740
ANC DSM 940
ANC DTW 5600
ANC ECP 560
ANC ELP 1720
ANC EWR 2800
ANC FAI 60570
ANC FAR 1050
ANC FAT 1910
ANC FCA 1430
ANC FLL-MIA 5820
ANC FSD 1110
ANC FWA 190
ANC GEG 12450
ANC GFK 220
ANC GRR 1980
ANC GSO 670
ANC GTF 860
ANC HNL 13970
ANC HOU-IAH 10440
ANC HRL 40
ANC ICT 1110
ANC IDA 410
ANC ILM 350
ANC IND 2710
ANC JAN 460
ANC JAX 1680
ANC JFK-LGA 5470
ANC JNU 27560
ANC KOA-ITO 8080
ANC LAS 23140
ANC LAX-BUR 27390
ANC LBB 260
ANC LEX 490
ANC LIH 1750
ANC LIT 1370
ANC MAF 360
ANC MCI 4800
ANC MCO 9330
ANC MDT 520
ANC MEM 1720
ANC MFE 160
ANC MFR 3050
ANC MKE-MS 1460
ANC MOB 710
ANC MOT 440
ANC MSO 2660
ANC MSP 19340
ANC MSY 4120
ANC MYR 280
ANC OAK 1650
ANC OGG 9030
ANC OKC 4180
ANC OMA 2780
ANC ONT 2050
ANC ORD-MDW 15120
ANC ORF 1450
ANC PBI 440
ANC PDX 27920
ANC PHL 4160
ANC PHX 31060
ANC PIT 3220
ANC PNS 1370
ANC PSP 2180
ANC PVD 190
ANC PWM 550
ANC RAP 890
ANC RDU 4040
ANC RIC 1150
ANC RNO 4040
ANC ROA 370
ANC ROC 550
ANC RSW 1060
ANC SAN 9360
ANC SAT 5430
ANC SAV 770
ANC SBA 570
ANC SDF 1270
ANC SEA 84570
ANC SFO 7830
ANC SGF 1190
