fipstate,naics,emp,est,n<5,e<5,n5_9,e5_9,n10_19,e10_19,n20_49,e20_49,n50_99,e50_99,n100_249,e100_249,n250_499,e250_499,n500_999,e500_999,n1000,e1000
01,23816,1503,207,124,190,41,268,22,278,17,536,3,231,0,0,0,0,0,0,0,0
01,238160,1503,207,124,190,41,268,22,278,17,536,3,231,0,0,0,0,0,0,0,0
01,23817,361,79,57,119,13,75,6,89,3,78,0,0,0,0,0,0,0,0,0,0
01,238170,361,79,57,119,13,75,6,89,3,78,0,0,0,0,0,0,0,0,0,0
01,23819,959,55,24,49,14,97,7,103,7,235,0,0,0,0,0,0,0,0,0,0
01,238190,959,55,24,49,14,97,7,103,7,235,0,0,0,0,0,0,0,0,0,0
01,2382,30483,2411,1248,2333,465,3092,340,4691,251,7696,66,4454,34,4870,4,1381,3,1966,0,0
01,23821,11059,853,401,760,176,1178,144,1989,91,2783,27,1778,12,1703,0,0,0,0,0,0
01,238210,11059,853,401,760,176,1178,144,1989,91,2783,27,1778,12,1703,0,0,0,0,0,0
01,23822,15533,1445,794,1471,276,1831,184,2541,140,4202,34,2338,15,2175,0,0,0,0,0,0
01,238220,15533,1445,794,1471,276,1831,184,2541,140,4202,34,2338,15,2175,0,0,0,0,0,0
01,23829,3891,113,53,102,13,83,12,161,20,711,5,338,7,992,0,0,0,0,0,0
01,238290,3891,113,53,102,13,83,12,161,20,711,5,338,7,992,0,0,0,0,0,0
01,2383,6888,921,576,1036,167,1094,110,1507,56,1443,10,798,0,0,0,0,0,0,0,0
01,23831,2313,188,85,160,41,274,34,472,24,609,3,272,0,0,0,0,0,0,0,0
01,238310,2313,188,85,160,41,274,34,472,24,609,3,272,0,0,0,0,0,0,0,0
01,23832,2006,265,184,327,42,279,22,296,12,313,4,307,0,0,0,0,0,0,0,0
01,238320,2006,265,184,327,42,279,22,296,12,313,4,307,0,0,0,0,0,0,0,0
01,23833,695,120,83,147,19,125,12,165,4,96,0,0,0,0,0,0,0,0,0,0
01,238330,695,120,83,147,19,125,12,165,4,96,0,0,0,0,0,0,0,0,0,0
01,23834,381,67,44,72,11,70,7,101,5,138,0,0,0,0,0,0,0,0,0,0
01,238340,381,67,44,72,11,70,7,101,5,138,0,0,0,0,0,0,0,0,0,0
01,23835,1091,217,144,257,42,266,23,326,7,185,0,0,0,0,0,0,0,0,0,0
01,238350,1091,217,144,257,42,266,23,326,7,185,0,0,0,0,0,0,0,0,0,0
01,23839,402,64,36,73,12,80,12,147,4,102,0,0,0,0,0,0,0,0,0,0
01,238390,402,64,36,73,12,80,12,147,4,102,0,0,0,0,0,0,0,0,0,0
01,2389,9657,805,444,787,139,940,104,1380,88,2581,16,1065,11,1554,0,0,0,0,0,0
01,23891,7473,510,278,481,83,555,59,793,61,1772,15,968,11,1554,0,0,0,0,0,0
01,238910,7473,510,278,481,83,555,59,793,61,1772,15,968,11,1554,0,0,0,0,0,0
01,23899,2184,295,166,306,56,385,45,587,27,809,0,0,0,0,0,0,0,0,0,0
01,238990,2184,295,166,306,56,385,45,587,27,809,0,0,0,0,0,0,0,0,0,0
01,31,264061,4138,1301,2547,643,4381,616,8496,628,19947,344,24279,361,56488,151,52028,66,48077,28,47818
01,311,35210,288,99,208,45,308,29,400,33,1053,14,1010,30,4700,13,4322,18,13966,7,9243
01,3111,1260,32,8,21,3,25,8,102,8,262,0,0,0,0,0,0,0,0,0,0
01,31111,1260,32,8,21,3,25,8,102,8,262,0,0,0,0,0,0,0,0,0,0
01,311111,734,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311119,526,29,8,21,3,25,8,102,8,262,0,0,0,0,0,0,0,0,0,0
01,3112,973,12,3,5,0,0,0,0,4,148,0,0,3,471,0,0,0,0,0,0
01,31121,267,6,0,0,0,0,0,0,3,103,0,0,0,0,0,0,0,0,0,0
01,311211,267,6,0,0,0,0,0,0,3,103,0,0,0,0,0,0,0,0,0,0
01,31122,706,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311224,409,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3113,175,11,3,7,4,28,3,47,0,0,0,0,0,0,0,0,0,0,0,0
01,31135,75,8,0,0,3,22,3,47,0,0,0,0,0,0,0,0,0,0,0,0
01,311352,75,8,0,0,3,22,3,47,0,0,0,0,0,0,0,0,0,0,0,0
01,3114,47,7,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31142,37,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311421,36,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3115,1005,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31151,549,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31152,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311520,456,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3116,26727,84,22,41,8,51,3,34,8,252,3,226,10,1487,6,2215,17,13178,7,9243
01,31161,26727,84,22,41,8,51,3,34,8,252,3,226,10,1487,6,2215,17,13178,7,9243
01,311611,212,21,11,28,5,32,3,34,0,0,0,0,0,0,0,0,0,0,0,0
01,311612,885,16,7,7,0,0,0,0,0,0,0,0,3,423,0,0,0,0,0,0
01,311613,240,8,0,0,0,0,0,0,5,150,0,0,0,0,0,0,0,0,0,0
01,311615,25390,39,3,3,0,0,0,0,0,0,0,0,6,968,5,1946,17,13178,7,9243
01,3117,1105,19,4,8,0,0,4,50,4,129,0,0,3,505,0,0,0,0,0,0
01,31171,1105,19,4,8,0,0,4,50,4,129,0,0,3,505,0,0,0,0,0,0
01,311710,1105,19,4,8,0,0,4,50,4,129,0,0,3,505,0,0,0,0,0,0
01,3118,1456,84,42,86,23,154,7,95,5,126,0,0,4,550,0,0,0,0,0,0
01,31181,1329,80,40,84,23,154,7,95,4,104,0,0,4,550,0,0,0,0,0,0
01,311811,383,64,33,69,21,141,7,95,3,78,0,0,0,0,0,0,0,0,0,0
01,311812,946,16,7,15,0,0,0,0,0,0,0,0,4,550,0,0,0,0,0,0
01,31182,127,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311821,105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,3119,2462,31,11,25,3,16,3,55,3,108,3,215,6,919,0,0,0,0,0,0
01,31191,1108,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311911,318,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311919,790,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31192,346,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311920,346,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31194,779,11,4,8,0,0,0,0,0,0,0,0,3,574,0,0,0,0,0,0
01,311941,455,6,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311942,324,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,31199,225,8,3,11,0,0,0,0,3,108,0,0,0,0,0,0,0,0,0,0
01,311991,108,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,311999,117,5,0,0,0,0,0,0,3,108,0,0,0,0,0,0,0,0,0,0
01,312,1610,62,26,51,11,82,13,181,6,151,0,0,3,434,0,0,0,0,0,0
01,3121,1505,61,26,51,11,82,13,181,6,151,0,0,0,0,0,0,0,0,0,0
01,31211,1092,15,0,0,4,32,5,71,0,0,0,0,0,0,0,0,0,0,0,0
01,312111,984,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01,312113,91,9,0,0,0,0,5,71,0,0,0,0,0,0,0,0,0,0,0,0
01,31212,391,35,13,24,7,50,8,110,6,151,0,0,0,0,0,0,0,0,0,0
01,312120,391,35,13,24,7,50,8,110,6,151,0,0,0,0,0,0,0,0,0,0
01,31213,11,5,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
